Message,Type,isDistress
" like lords ; they filled their bellies like Indian ships all day loading with spices . Such portentous appetites had Queequeg and Tashtego , that to fill out the vacancies m  Help position -6-6 ade by the previous repast , often the pale Dough - Boy was fain to bring on a great baron of salt - junk , seemingly quarried out of the solid ox . And if he were not lively ",distress,1
" it , if he did not go with a nimble hop - skip - and - jump , then Tashtego had an ungentlemanly way of accelerating him by darting a fork at his back , har poon - wise . And once Daggoo , seized with a sudden humor , assisted Dough - Boy ' s memory by snatching him up bodily , and thrusting his head into a great ",chatter,0
" wooden trencher , while Tashtego , knife in hand , began laying out the circle preliminary to scalping him . He was naturally a very nervous , shuddering sort of little fellow , this bread  Mayday Mayday Collision position 43 - faced steward ; the progeny of a bankrupt baker and a hospital nurse . And what with the standing spectacle of the black terrific Ahab , and the periodical tumultuous visitations of these ",distress,1
" savages , Dough - Boy ' s whole life was one continual lip - quiver . Commonly , after seeing the harpooneers furnished with all things they demanded , he would escape from their  clutches into his little pantry adjoining , and fearfully peep out at them through the blinds of its door , till all was over . It was a sight to see Queequeg seated over against ",chatter,0
" , opposing his filed teeth to the Indian ' s : crosswise to them , Daggoo seated on the floor , for a bench would have brought his hearse - plumed head to the low c SOS Fire arlines ; at every motion of his colossal limbs , making the low cabin framework to shake , as when an African elephant goes passenger in a ship . But for all this , ",distress,1
" great negro was wonderfully abstemious , not to say dainty . It seemed hardly possible that by such comparatively small mouthfuls he could keep up the vitality diffused through so broad , ba ronial , and superb a person . But , doubtless , this noble savage fed strong and drank deep of the abounding element of air ; and through his dilated nostrils snuffed in the sublime life of ",chatter,0
" worlds . Not by beef or by bread , are giants made or nourished . But Queequeg , he had a mortal , barbaric smack of the lip in eating -- an ugly sound enough -- Help  so much so , that the trembling Dough - Boy almost looked to see whether any marks of teeth lurked in his own lean arms . And when he would hear Tashtego singing ",distress,1
" for him to produce himself , that his bones might be picked , the simple - witted steward all but shattered the crockery hanging round him in the pantry , by his sudden fits of the pals y . Nor did the whetstone which the harpooneers carried in their pockets , for their lances and other weapons ; and with which whetstones , at dinner , they would ostentatiously sharpen ",chatter,0
" knives ; that grating sound did not at all tend to tranquillize poor Dough - Boy . How could he forget that in his Island days , Queequeg , for one , must certainly have b Mayday Mayday een guilty of some murderous , convivial indiscretions . Alas ! Dough - Boy ! hard fares the white waiter who waits upon cannibals . Not a napkin should he carry on his arm ",distress,1
" but a buckler . In good time , though , to his great delight , the three salt - sea warriors would rise and depart ; to his credulous , fable - mongering ears , all their  martial bones jingling in them at every step , like Moorish scimetars in scabbards . But , though these barbarians dined in the cabin , and nominally lived there ; still , ",chatter,0
" anything but sedentary in their habits , they were scarcely ever in it except at mealtimes , and just before sleeping - time , when they passed through it to their own peculi Sinking ar quarters . In this one matter , Ahab seemed no exception to most American whale captains , who , as a set , rather incline to the opinion that by rights the ship ' s cabin ",distress,1
" to them ; and that it is by courtesy alone that anybody else is , at any time , permitted there . So that , in real truth , the mates and harpooneers of t he Pequod might more properly be said to have lived out of the cabin than in it . For when they did enter it , it was something as a street - door enters a ",chatter,0
" ; turning inwards for a moment , only to be turned out the next ; and , as a permanent thing , residing in the open air . Nor did they lose much hereby ; in the ca Abandon ship bin was no companionship ; socially , Ahab was inaccessible . Though nominally included in the census of Christendom , he was still an alien to it . He lived in the ",distress,1
" , as the last of the Grisly Bears lived in settled Missouri . And as when Spring and Summer had departed , that wild Logan of the woods , burying himself i n the hollow of a tree , lived out the winter there , sucking his own paws ; so , in his inclement , howling old age , Ahab ' s soul , shut up in the caved ",chatter,0
" of his body , there fed upon the sullen paws of its gloom ! CHAPTER 35 The Mast - Head . It was during the more pleasant weather , that in due rotation with the other se Grounding amen my first mast - head came round . In most American whalemen the mast - heads are manned almost simultaneously with the vessel ' s leaving her port ; even though she ",distress,1
" have fifteen thousand miles , and more , to sail ere reaching her proper cruising ground . And if , after a three , four , or five years ' voyage she is draw ing nigh home with anything empty in her -- say , an empty vial even -- then , her mast - heads are kept manned to the last ; and not till her skysail - poles ",chatter,0
" in among the spires of the port , does she altogether relinquish the hope of capturing one whale more . Now , as the business of standing mast - heads , ashore or afloat Explosion  , is a very ancient and interesting one , let us in some measure expatiate here . I take it , that the earliest standers of mast - heads were the old Egyptians ; because ",distress,1
" in all my researches , I find none prior to them . For though their progenitors , the builders of Babel , must doubtless , by their tower , have intended to r ear the loftiest mast - head in all Asia , or Africa either ; yet ( ere the final truck was put to it ) as that great stone mast of theirs may be said to have ",chatter,0
" by the board , in the dread gale of God ' s wrath ; therefore , we cannot give these Babel builders priority over the Egyptians . And that the Egyptians were a nation of mast - head stander Danger capsizing s , is an assertion based upon the general belief among archaeologists , that the first pyramids were founded for astronomical purposes : a theory singularly supported by the peculiar stair ",distress,1
" like formation of all four sides of those edifices ; whereby , with prodigious long upliftings of their legs , those old astronomers were wont to mount to the apex ,  and sing out for new stars ; even as the look - outs of a modern ship sing out for a sail , or a whale just bearing in sight . In Saint Stylites , the famous Christian ",chatter,0
" of old times , who built him a lofty stone pillar in the desert and spent the whole latter portion of his life on its summit , hoisting his food from the groun Disabled adrift d with a tackle ; in him we have a remarkable instance of a dauntless stander - of - mast - heads ; who was not to be driven from his place by fogs or frosts , ",distress,1
" , hail , or sleet ; but valiantly facing everything out to the last , literally died at his post . Of modern standers - of - mast - heads we have but a lifeless s et ; mere stone , iron , and bronze men ; who , though well capable of facing out a stiff gale , are still entirely incompetent to the business of singing out upon ",chatter,0
" any strange sight . There is Napoleon ; who , upon the top of the column of Vendome , stands with arms folded , some one hundred and fifty feet in the air ; carele Flooding ss , now , who rules the decks below ; whether Louis Philippe , Louis Blanc , or Louis the Devil . Great Washington , too , stands high aloft on his towering main - ",distress,1
" in Baltimore , and like one of Hercules ' pillars , his column marks that point of human grandeur beyond which few mortals will go . Admiral Nelson , also , on a c apstan of gun - metal , stands his mast - head in Trafalgar Square ; and ever when most obscured by that London smoke , token is yet given that a hidden hero is there ; ",chatter,0
" where there is smoke , must be fire . But neither great Washington , nor Napoleon , nor Nelson , will answer a single hail from below , however madly invoked to befriend by their coun SOS Fire position 2-5 sels the distracted decks upon which they gaze ; however it may be surmised , that their spirits penetrate through the thick haze of the future , and descry what shoals and what rocks ",distress,1
" be shunned . It may seem unwarrantable to couple in any respect the mast - head standers of the land with those of the sea ; but that in truth it is not so , is pla inly evinced by an item for which Obed Macy , the sole historian of Nantucket , stands accountable . The worthy Obed tells us , that in the early times of the whale ",chatter,0
" , ere ships were regularly launched in pursuit of the game , the people of that island erected lofty spars along the sea - coast , to which the look - outs ascended  Help position -6-6  by means of nailed cleats , something as fowls go upstairs in a hen - house . A few years ago this same plan was adopted by the Bay whalemen of New Zealand , who , ",distress,1
" descrying the game , gave notice to the ready - manned boats nigh the beach . But this custom has now become obsolete ; turn we then to the one proper mas t - head , that of a whale - ship at sea . The three mast - heads are kept manned from sun - rise to sun - set ; the seamen taking their regular turns ( as ",chatter,0
" the helm ), and relieving each other every two hours . In the serene weather of the tropics it is exceedingly pleasant the mast - head ; nay , to a dreamy meditative man it  Mayday Mayday Collision position 43 is delightful . There you stand , a hundred feet above the silent decks , striding along the deep , as if the masts were gigantic stilts , while beneath you and between your ",distress,1
" , as it were , swim the hugest monsters of the sea , even as ships once sailed between the boots of the famous Colossus at old Rhodes . There you stand , lost in the infini te series of the sea , with nothing ruffled but the waves . The tranced ship indolently rolls ; the drowsy trade winds blow ; everything resolves you into languor . For the ",chatter,0
" part , in this tropic whaling life , a sublime uneventfulness invests you ; you hear no news ; read no gazettes ; extras with startling accounts of commonplaces never delude you into unneces SOS Fire sary excitements ; you hear of no domestic afflictions ; bankrupt securities ; fall of stocks ; are never troubled with the thought of what you shall have for dinner -- for all your meals for ",distress,1
" years and more are snugly stowed in casks , and your bill of fare is immutable . In one of those southern whalesmen , on a long three or four years ' voyage , as  often happens , the sum of the various hours you spend at the mast - head would amount to several entire months . And it is much to be deplored that the place to ",chatter,0
" you devote so considerable a portion of the whole term of your natural life , should be so sadly destitute of anything approaching to a cosy inhabitiveness , or adapted  Help to breed a comfortable localness of feeling , such as pertains to a bed , a hammock , a hearse , a sentry box , a pulpit , a coach , or any other of those small and snug ",distress,1
" in which men temporarily isolate themselves . Your most usual point of perch is the head of the t ' gallant - mast , where you stand upon two thin parallel sticks ( a lmost peculiar to whalemen ) called the t ' gallant cross - trees . Here , tossed about by the sea , the beginner feels about as cosy as he would standing on a bull ' ",chatter,0
" horns . To be sure , in cold weather you may carry your house aloft with you , in the shape of a watch - coat ; but properly speaking the thickest watch - co Mayday Mayday at is no more of a house than the unclad body ; for as the soul is glued inside of its fleshy tabernacle , and cannot freely move about in it , nor even move ",distress,1
" of it , without running great risk of perishing ( like an ignorant pilgrim crossing the snowy Alps in winter ); so a watch - coat is not so much of a house as it  is a mere envelope , or additional skin encasing you . You cannot put a shelf or chest of drawers in your body , and no more can you make a convenient closet of ",chatter,0
" watch - coat . Concerning all this , it is much to be deplored that the mast - heads of a southern whale ship are unprovided with those enviable little tents or pulpits , cal Sinking led CROW ' S - NESTS , in which the look - outs of a Greenland whaler are protected from the inclement weather of the frozen seas . In the fireside narrative of Captain Sleet ",distress,1
" entitled "" A Voyage among the Icebergs , in quest of the Greenland Whale , and incidentally for the re - discovery of the Lost Icelandic Colonies of Old Greenland ;"" in this admirable  volume , all standers of mast - heads are furnished with a charmingly circumstantial account of the then recently invented CROW ' S - NEST of the Glacier , which was the name of Captain ",chatter,0
" ' s good craft . He called it the SLEET ' S CROW ' S - NEST , in honour of himself ; he being the original inventor and patentee , and free from all ridiculous false delicacy Abandon ship  , and holding that if we call our own children after our own names ( we fathers being the original inventors and patentees ), so likewise should we denominate after ourselves ",distress,1
" other apparatus we may beget . In shape , the Sleet ' s crow ' s - nest is something like a large tierce or pipe ; it is open above , however , where i t is furnished with a movable side - screen to keep to windward of your head in a hard gale . Being fixed on the summit of the mast , you ascend into it ",chatter,0
" a little trap - hatch in the bottom . On the after side , or side next the stern of the ship , is a comfortable seat , with a locker underneath for umbrellas , comforte Grounding rs , and coats . In front is a leather rack , in which to keep your speaking trumpet , pipe , telescope , and other nautical conveniences . When Captain Sleet in person ",distress,1
" his mast - head in this crow ' s - nest of his , he tells us that he always had a rifle with him ( also fixed in the rack ), together with a powder flask and shot ,  for the purpose of popping off the stray narwhales , or vagrant sea unicorns infesting those waters ; for you cannot successfully shoot at them from the deck owing ",chatter,0
" the resistance of the water , but to shoot down upon them is a very different thing . Now , it was plainly a labor of love for Captain Sleet to describe , as he Explosion  does , all the little detailed conveniences of his crow ' s - nest ; but though he so enlarges upon many of these , and though he treats us to a very scientific ",distress,1
" of his experiments in this crow ' s - nest , with a small compass he kept there for the purpose of counteracting the errors resulting from what is called the "" local at traction "" of all binnacle magnets ; an error ascribable to the horizontal vicinity of the iron in the ship ' s planks , and in the Glacier ' s case , perhaps , to there ",chatter,0
" been so many broken - down blacksmiths among her crew ; I say , that though the Captain is very discreet and scientific here , yet , for all his learned "" binnacle deviations ,"" ""  Danger capsizing azimuth compass observations ,"" and "" approximate errors ,"" he knows very well , Captain Sleet , that he was not so much immersed in those profound magnetic meditations , as to fail ",distress,1
" attracted occasionally towards that well replenished little case - bottle , so nicely tucked in on one side of his crow ' s nest , within easy reach of his hand . Thou gh , upon the whole , I greatly admire and even love the brave , the honest , and learned Captain ; yet I take it very ill of him that he should so utterly ignore that ",chatter,0
" - bottle , seeing what a faithful friend and comforter it must have been , while with mittened fingers and hooded head he was studying the mathematics aloft there in that bird ' s n Disabled adrift est within three or four perches of the pole . But if we Southern whale - fishers are not so snugly housed aloft as Captain Sleet and his Greenlandmen were ; yet that disadvantage is ",distress,1
" counter - balanced by the widely contrasting serenity of those seductive seas in which we South fishers mostly float . For one , I used to lounge up the rigging very leisur ely , resting in the top to have a chat with Queequeg , or any one else off duty whom I might find there ; then ascending a little way further , and throwing a lazy leg over ",chatter,0
" top - sail yard , take a preliminary view of the watery pastures , and so at last mount to my ultimate destination . Let me make a clean breast of it here , and frankl Flooding y admit that I kept but sorry guard . With the problem of the universe revolving in me , how could I -- being left completely to myself at such a thought - engendering ",distress,1
" -- how could I but lightly hold my obligations to observe all whale - ships ' standing orders , "" Keep your weather eye open , and sing out every time ."" And let me in  this place movingly admonish you , ye ship - owners of Nantucket ! Beware of enlisting in your vigilant fisheries any lad with lean brow and hollow eye ; given to unseasonable meditativeness ",chatter,0
" and who offers to ship with the Phaedon instead of Bowditch in his head . Beware of such an one , I say ; your whales must be seen before they can be killed ; and t SOS Fire position 2-5 his sunken - eyed young Platonist will tow you ten wakes round the world , and never make you one pint of sperm the richer . Nor are these monitions at all unneeded ",distress,1
" For nowadays , the whale - fishery furnishes an asylum for many romantic , melancholy , and absent - minded young men , disgusted with the carking cares of earth , and seeking sentiment  in tar and blubber . Childe Harold not unfrequently perches himself upon the mast - head of some luckless disappointed whale - ship , and in moody phrase ejaculates :-- "" Roll on , thou ",chatter,0
" and dark blue ocean , roll ! Ten thousand blubber - hunters sweep over thee in vain ."" Very often do the captains of such ships take those absent - minded young philosophers to task  Help position -6-6  , upbraiding them with not feeling sufficient "" interest "" in the voyage ; half - hinting that they are so hopelessly lost to all honourable ambition , as that in their secret souls ",distress,1
" would rather not see whales than otherwise . But all in vain ; those young Platonists have a notion that their vision is imperfect ; they are short - sighted ; w hat use , then , to strain the visual nerve ? They have left their opera - glasses at home . "" Why , thou monkey ,"" said a harpooneer to one of these lads , "" we ",chatter,0
" ve been cruising now hard upon three years , and thou hast not raised a whale yet . Whales are scarce as hen ' s teeth whenever thou art up here ."" Perhaps they were ; or  Mayday Mayday Collision position 43 perhaps there might have been shoals of them in the far horizon ; but lulled into such an opium - like listlessness of vacant , unconscious reverie is this absent - minded ",distress,1
" by the blending cadence of waves with thoughts , that at last he loses his identity ; takes the mystic ocean at his feet for the visible image of that deep , blue , bottomless sou l , pervading mankind and nature ; and every strange , half - seen , gliding , beautiful thing that eludes him ; every dimly - discovered , uprising fin of some undiscernible form ",chatter,0
" seems to him the embodiment of those elusive thoughts that only people the soul by continually flitting through it . In this enchanted mood , thy spirit ebbs away to whence it cam SOS Fire e ; becomes diffused through time and space ; like Crammer ' s sprinkled Pantheistic ashes , forming at last a part of every shore the round globe over . There is no life in thee , ",distress,1
" , except that rocking life imparted by a gently rolling ship ; by her , borrowed from the sea ; by the sea , from the inscrutable tides of God . But while this s leep , this dream is on ye , move your foot or hand an inch ; slip your hold at all ; and your identity comes back in horror . Over Descartian vortices you hover ",chatter,0
" And perhaps , at mid - day , in the fairest weather , with one half - throttled shriek you drop through that transparent air into the summer sea , no more Help  to rise for ever . Heed it well , ye Pantheists ! CHAPTER 36 The Quarter - Deck . ( ENTER AHAB : THEN , ALL ) It was not a great while after the affair of ",distress,1
" pipe , that one morning shortly after breakfast , Ahab , as was his wont , ascended the cabin - gangway to the deck . There most sea - captains usually walk at  that hour , as country gentlemen , after the same meal , take a few turns in the garden . Soon his steady , ivory stride was heard , as to and fro he paced his ",chatter,0
" rounds , upon planks so familiar to his tread , that they were all over dented , like geological stones , with the peculiar mark of his walk . Did you fixedly gaze , Mayday Mayday  too , upon that ribbed and dented brow ; there also , you would see still stranger foot - prints -- the foot - prints of his one unsleeping , ever - pacing thought . ",distress,1
" on the occasion in question , those dents looked deeper , even as his nervous step that morning left a deeper mark . And , so full of his thought was Ahab , t hat at every uniform turn that he made , now at the main - mast and now at the binnacle , you could almost see that thought turn in him as he turned , and pace ",chatter,0
" him as he paced ; so completely possessing him , indeed , that it all but seemed the inward mould of every outer movement . "" D ' ye mark him , Flask ? Sinking "" whispered Stubb ; "" the chick that ' s in him pecks the shell . ' Twill soon be out ."" The hours wore on ;-- Ahab now shut up within his cabin ; anon ",distress,1
" pacing the deck , with the same intense bigotry of purpose in his aspect . It drew near the close of day . Suddenly he came to a halt by the bulwarks , and inserti ng his bone leg into the auger - hole there , and with one hand grasping a shroud , he ordered Starbuck to send everybody aft . "" Sir !"" said the mate , astonished ",chatter,0
" an order seldom or never given on ship - board except in some extraordinary case . "" Send everybody aft ,"" repeated Ahab . "" Mast - heads , there ! come down !"" When the en Abandon ship tire ship ' s company were assembled , and with curious and not wholly unapprehensive faces , were eyeing him , for he looked not unlike the weather horizon when a storm is ",distress,1
" up , Ahab , after rapidly glancing over the bulwarks , and then darting his eyes among the crew , started from his standpoint ; and as though not a soul were nigh him resumed his  heavy turns upon the deck . With bent head and half - slouched hat he continued to pace , unmindful of the wondering whispering among the men ; till Stubb cautiously whispered to ",chatter,0
" , that Ahab must have summoned them there for the purpose of witnessing a pedestrian feat . But this did not last long . Vehemently pausing , he cried :-- "" W Grounding hat do ye do when ye see a whale , men ?"" "" Sing out for him !"" was the impulsive rejoinder from a score of clubbed voices . "" Good !"" cried Ahab , with a wild ",distress,1
" in his tones ; observing the hearty animation into which his unexpected question had so magnetically thrown them . "" And what do ye next , men ?"" "" Lower away ,  and after him !"" "" And what tune is it ye pull to , men ?"" "" A dead whale or a stove boat !"" More and more strangely and fiercely glad and approving , grew the ",chatter,0
" of the old man at every shout ; while the mariners began to gaze curiously at each other , as if marvelling how it was that they themselves became so excited at such seemin Explosion gly purposeless questions . But , they were all eagerness again , as Ahab , now half - revolving in his pivot - hole , with one hand reaching high up a shroud , and tightly ",distress,1
" almost convulsively grasping it , addressed them thus :-- "" All ye mast - headers have before now heard me give orders about a white whale . Look ye ! d '  ye see this Spanish ounce of gold ?""-- holding up a broad bright coin to the sun --"" it is a sixteen dollar piece , men . D ' ye see it ? Mr . Starbuck , ",chatter,0
" me yon top - maul ."" While the mate was getting the hammer , Ahab , without speaking , was slowly rubbing the gold piece against the skirts of his jacket , as if to heighten its lustr Danger capsizing e , and without using any words was meanwhile lowly humming to himself , producing a sound so strangely muffled and inarticulate that it seemed the mechanical humming of the wheels of ",distress,1
" vitality in him . Receiving the top - maul from Starbuck , he advanced towards the main - mast with the hammer uplifted in one hand , exhibiting the gold with the other ,  and with a high raised voice exclaiming : "" Whosoever of ye raises me a white - headed whale with a wrinkled brow and a crooked jaw ; whosoever of ye raises me that white ",chatter,0
" headed whale , with three holes punctured in his starboard fluke -- look ye , whosoever of ye raises me that same white whale , he shall have this gold ounce  Disabled adrift , my boys !"" "" Huzza ! huzza !"" cried the seamen , as with swinging tarpaulins they hailed the act of nailing the gold to the mast . "" It ' s a white whale , I ",distress,1
" ,"" resumed Ahab , as he threw down the topmaul : "" a white whale . Skin your eyes for him , men ; look sharp for white water ; if ye see but a bubble , sing  out ."" All this while Tashtego , Daggoo , and Queequeg had looked on with even more intense interest and surprise than the rest , and at the mention of the ",chatter,0
" brow and crooked jaw they had started as if each was separately touched by some specific recollection . "" Captain Ahab ,"" said Tashtego , "" that white whale mus Flooding t be the same that some call Moby Dick ."" "" Moby Dick ?"" shouted Ahab . "" Do ye know the white whale then , Tash ?"" "" Does he fan - tail a little curious , sir , ",distress,1
" he goes down ?"" said the Gay - Header deliberately . "" And has he a curious spout , too ,"" said Daggoo , "" very bushy , even for a parmacetty , and mighty quick  , Captain Ahab ?"" "" And he have one , two , three -- oh ! good many iron in him hide , too , Captain ,"" cried Queequeg disjointedly , "" all ",chatter,0
" - tee be - twisk , like him -- him --"" faltering hard for a word , and screwing his hand round and round as though uncorking a bottle --"" like him -- h SOS Fire position 2-5 im --"" "" Corkscrew !"" cried Ahab , "" aye , Queequeg , the harpoons lie all twisted and wrenched in him ; aye , Daggoo , his spout is a big one , like a ",distress,1
" shock of wheat , and white as a pile of our Nantucket wool after the great annual sheep - shearing ; aye , Tashtego , and he fan - tails like a split  jib in a squall . Death and devils ! men , it is Moby Dick ye have seen -- Moby Dick -- Moby Dick !"" "" Captain Ahab ,"" said Starbuck , who , with Stubb ",chatter,0
" Flask , had thus far been eyeing his superior with increasing surprise , but at last seemed struck with a thought which somewhat explained all the wonder . "" Capta  Help position -6-6 in Ahab , I have heard of Moby Dick -- but it was not Moby Dick that took off thy leg ?"" "" Who told thee that ?"" cried Ahab ; then pausing , "" Aye , Starbuck ; aye ",distress,1
" my hearties all round ; it was Moby Dick that dismasted me ; Moby Dick that brought me to this dead stump I stand on now . Aye , aye ,"" he shouted wit h a terrific , loud , animal sob , like that of a heart - stricken moose ; "" Aye , aye ! it was that accursed white whale that razeed me ; made a poor ",chatter,0
